customer_unique_id,recency,frequency,monetary_value,mean_review_score,mean_payment_installments,client_status,dbscan_label
82c0c03a1fb8968a30707374c8566fba,275,1,2032.04,4.0,4.0,Atypique,-1
5a04d5472eb5ee998250f0977b31f772,18,1,2032.0,5.0,8.0,VIP_atypique,-1
75a8083e27e7af87d890db460e048efa,282,1,2031.47,5.0,8.0,Atypique,-1
a813e96ecd044395587037a8314a4151,59,1,2031.09,5.0,1.0,VIP_atypique,-1
b8b32554df7a612f3aefb40b44653a4d,285,1,2028.75,5.0,1.0,Atypique,-1
10080cf8d46d43de1133521a8567b153,178,1,2028.65,1.0,8.0,Atypique,-1
0bc62798218b7ebd8849210c509efe1d,262,1,2027.65,5.0,1.0,Atypique,-1
9cb4965f1caae128f5a82f1345e2e8bc,117,1,2027.26,5.0,8.0,Atypique,-1
8f86544c8854a0d0b347511a24981b77,310,1,2027.23,1.0,10.0,Atypique,-1
02b6ef845021b8fefe19c8d200f3ee06,149,1,2024.31,4.0,1.0,Atypique,-1
a3331aa44b50207a2f580848a07f0a6f,325,1,2023.58,4.0,2.0,Atypique,-1
921972f1568c1c75a26b18b4cb4ed5a7,13,1,2022.33,5.0,20.0,VIP_atypique,-1
28f6c5e53f39cd45ccd6b22fc82cd1d1,108,1,2022.02,4.0,8.0,VIP_atypique,-1
906a8a4ec9f3d4c3e64fa6d1c4fe6009,41,2,2020.86,3.5,1.0,VIP_atypique,-1
15be5104d4c41b5e0dada09bfa5215d9,318,1,2009.62,1.0,10.0,Atypique,-1
0341bbd5c969923a0f801b9e2d10a7b8,92,2,1999.68,5.0,10.0,VIP_atypique,-1
15dcd36d3c50ae6540aa942684f51824,255,1,1996.32,1.0,10.0,Atypique,-1
6e328f26167e5c9f1c9ac765e6e95f4d,97,1,1995.69,5.0,10.0,VIP_atypique,-1
ee4fb55368c4c4fa5069f4c7cbe0ed2e,79,1,1992.42,5.0,10.0,VIP_atypique,-1
fec38f6590f4d8e78563eacd15f0413c,144,1,1989.96,5.0,10.0,Atypique,-1
a7ca51c5d161c34444a45ff503b78b0c,142,1,1989.75,5.0,1.0,Atypique,-1
237beb4b0ae00c80268b9b894ed3f65a,185,1,1981.22,5.0,1.0,Atypique,-1
a0cd1f3e0a9259b6dd8ec0ed4f63a63e,26,1,1978.18,4.0,6.0,VIP_atypique,-1
ea10c984e50edffb58668706bd0bbfc2,144,1,1963.14,4.0,10.0,Atypique,-1
f444ba0d223518973d2ab5ee663bfd9a,141,1,1963.14,4.0,1.0,Atypique,-1
f2a9c45fecbca38c65837639d0e1c0f2,128,1,1963.14,4.0,5.0,Atypique,-1
ca9ff40e3d69e5ffc34a46ed9b91451c,151,1,1951.95,5.0,10.0,Atypique,-1
b25c74b16e09b4a3390a6db984004c44,110,1,1937.64,5.0,1.0,VIP_atypique,-1
994e2b50ade6ead19626283999638f25,79,1,1936.99,5.0,10.0,VIP_atypique,-1
7530369a1ddf13882910895b0559423d,36,1,1930.34,5.0,10.0,VIP_atypique,-1
bb68ab36f08cea9dece50c4d5f63e1ca,60,1,1927.38,5.0,1.0,VIP_atypique,-1
c5365631fcd0f5ae1802e798e1b7d692,335,1,1916.96,1.0,10.0,Atypique,-1
14cf3e40a2b5076d2d0384a7e68ca06f,23,1,1916.08,1.0,4.0,VIP_atypique,-1
95376669d92be6a7dcf0494e0b1d9917,73,1,1915.53,5.0,10.0,VIP_atypique,-1
cd020f72b3994d3dda2f464efe9aa99b,111,1,1915.13,5.0,10.0,VIP_atypique,-1
cef29e793e232d30250331804cdb7000,223,3,1906.68,5.0,1.0,Atypique,-1
e7ed4f9558a25b5403b41224518d052a,149,1,1902.55,5.0,10.0,Atypique,-1
66ec2bc0802dd4fa439e49dcfcf813b6,234,1,1898.27,5.0,5.0,Atypique,-1
336e748851ceb9da362d2d5e0b2f4b85,265,1,1894.41,5.0,10.0,Atypique,-1
9654d6df6a63f5a9b61dd5ba0e0d8286,107,1,1891.63,3.0,1.0,VIP_atypique,-1
ac32c69c438fa163767f5aa5c4d0b6e1,87,1,1875.77,1.0,10.0,VIP_atypique,-1
196fb9c6acb3d8e681f6691d596a21fb,218,1,1872.26,5.0,8.0,Atypique,-1
62a71b17bb35ca8351f0ab4fdc7a3354,78,1,1871.64,5.0,8.0,VIP_atypique,-1
1ee27e3ae93ad59224094a4ea0c71dc2,143,1,1869.8,5.0,10.0,Atypique,-1
0c2fa77ed1433d1b2ed06724ed0d5237,154,1,1867.85,5.0,10.0,Atypique,-1
93bc212addb25a5f5139fded3c2ee6b3,329,1,1866.7,1.0,1.0,Atypique,-1
fafe2f8e0b7065fef995698ef3809fec,38,1,1861.26,5.0,10.0,VIP_atypique,-1
74a63835c6e5eaef19af58cc83f663aa,38,1,1859.1,1.0,4.0,VIP_atypique,-1
23841d4abf4583dec7773f3bd2fe267d,216,1,1853.75,4.0,10.0,Atypique,-1
1eb6f015c37dc8e3f5b531fbca809a49,110,1,1843.85,1.0,10.0,VIP_atypique,-1
01858f2fad256b1689f5bdafc059f745,29,1,1841.11,5.0,8.0,VIP_atypique,-1
18360e41b00709cc7b2c6f391eff829e,72,1,1839.05,4.0,1.0,VIP_atypique,-1
89b692db0c2020ee873dbf261d941543,44,1,1832.54,5.0,10.0,VIP_atypique,-1
8d434defc893fd9ac17fabd1462cbce3,105,1,1830.99,5.0,10.0,VIP_atypique,-1
35dac57557b3ffbf2f231d3c1483fde1,200,1,1830.9,5.0,10.0,Atypique,-1
8ac03172dc8e36a4c5e0b694ef3235aa,98,1,1828.41,4.0,10.0,VIP_atypique,-1
13fb439d0a2aae1e3200ccb4dc9b37e7,202,1,1821.87,1.0,10.0,Atypique,-1
6ae98e2bdf8d09e86cd16479fa511f9e,31,1,1821.82,2.0,5.0,VIP_atypique,-1
0adb59a4ec552b5ea48414b79861e292,192,1,1817.54,4.0,1.0,Atypique,-1
5e5a9e721cb83187f5893a8c7109faee,308,1,1816.34,4.0,10.0,Atypique,-1
66b219a06a37d7129406e32d295a46fb,142,1,1816.11,1.0,6.0,Atypique,-1
c40698869e63dc7c57f3f66e767e7287,171,1,1814.29,1.0,1.0,Atypique,-1
bf31713750139aba4c36772dc9459f44,288,1,1812.33,5.0,8.0,Atypique,-1
798c34ffa9047399853eab8ca7c0b9a0,268,2,1812.19,4.0,4.0,Atypique,-1
77c404a3e8a4ee3808befcc4663ac123,171,1,1804.05,1.0,7.0,Atypique,-1
f3140df89d24aa120f087331fe18f773,195,1,1803.24,1.0,10.0,Atypique,-1
ac0ec8bdce394d27bc6c91549f2b5091,279,1,1798.01,3.0,8.0,Atypique,-1
21b7e7811ddc742cba9b74aaf89fb281,79,1,1797.73,4.0,10.0,VIP_atypique,-1
38e482d7770a43f5929378c4dec76d5e,13,1,1789.02,4.0,10.0,VIP_atypique,-1
26ad70987fa3435c6279b8c3a5f4980c,328,1,1787.72,5.0,10.0,Atypique,-1
c11f76d3806da64a4c64ea47627444e2,117,1,1784.2,1.0,10.0,Atypique,-1
9cde2485320efdd065a76233a3612623,260,1,1783.7,5.0,10.0,Atypique,-1
525cda9909aa001ebed396f6e55eae01,22,2,1782.9,4.5,4.0,VIP_atypique,-1
85b483b4f7f7bb9fe94d3ece0a3cab93,219,1,1778.01,5.0,3.0,Atypique,-1
141b3509663d0e6c8735da7d62fcfe16,258,1,1775.26,1.0,10.0,Atypique,-1
b3879dce6b4a3b94b748b6c9b567695e,23,1,1768.4,4.0,3.0,VIP_atypique,-1
ac507528f385811a6feb0e3e1fe0afad,335,1,1761.64,5.0,5.0,Atypique,-1
4facc2e6fbc2bffab2fea92d2b4aa7e4,16,4,1760.75,3.0,9.0,VIP_atypique,-1
082f4a93605df980ab01581db54640d3,48,1,1759.26,5.0,7.0,VIP_atypique,-1
c9b33c9f1440ff1ebc8d4fe9b182614e,162,1,1759.04,5.0,1.0,Atypique,-1
9770456b4233cdf2363287ca2295650a,288,1,1755.35,4.0,10.0,Atypique,-1
7da11710b7b7aeebec5c91a6057c9969,332,1,1755.21,4.0,8.0,Atypique,-1
f6255a326ff4c43107bc0f42f433be94,279,1,1740.39,1.0,10.0,Atypique,-1
a1a9e43decb5941c1fc7f7c5fd507c5d,50,1,1738.17,5.0,10.0,VIP_atypique,-1
a1044dd75b74fbc485b040575a14acf0,252,2,1737.88,3.0,5.5,Atypique,-1
10811ce4adce690edaf95b2e8eb3845a,177,1,1736.3,4.0,10.0,Atypique,-1
4d32ae832a9e254bda80dac89fd37afb,98,1,1733.7,4.0,10.0,VIP_atypique,-1
a43af8fbe622cbe4be01322821f61145,167,1,1730.87,1.0,8.0,Atypique,-1
6aa828fc903b810472cff927dd42b500,127,1,1730.87,5.0,8.0,Atypique,-1
2f0ce2fb407114dbfa866f22c7cf9e9d,149,1,1729.98,1.0,10.0,Atypique,-1
42f1fdf511aeb359f56e375cae330892,13,1,1728.81,5.0,4.0,VIP_atypique,-1
9fc8316f4c0d0601664216e0a9327ed5,216,1,1727.67,1.0,10.0,Atypique,-1
